""
"Test Method","brazil.msm"
"Sample I. D.","Sample2.mss"
"Specimen Number","2"

"Load (N)","Time (s)","Extension (in)","Stress (ksi)","Strain (%)"

13.47,0.000,-0.00380,0.029,-0.190
13.17,0.100,-0.00380,0.028,-0.190
13.55,0.300,-0.00373,0.029,-0.187
13.38,0.400,-0.00365,0.029,-0.182
13.28,0.500,-0.00357,0.028,-0.178
13.42,0.600,-0.00351,0.029,-0.175
13.64,0.700,-0.00345,0.029,-0.173
13.67,0.800,-0.00338,0.029,-0.169
13.57,0.900,-0.00331,0.029,-0.165
13.63,1.000,-0.00322,0.029,-0.161
13.68,1.100,-0.00310,0.029,-0.155
13.75,1.200,-0.00301,0.029,-0.150
13.62,1.300,-0.00294,0.029,-0.147
13.93,1.400,-0.00287,0.030,-0.144
13.83,1.500,-0.00280,0.030,-0.140
13.92,1.600,-0.00273,0.030,-0.136
13.91,1.700,-0.00262,0.030,-0.131
13.72,1.800,-0.00251,0.029,-0.125
13.88,1.900,-0.00243,0.030,-0.121
13.89,2.000,-0.00236,0.030,-0.118
14.00,2.100,-0.00229,0.030,-0.115
14.04,2.200,-0.00222,0.030,-0.111
14.08,2.300,-0.00214,0.030,-0.107
13.94,2.400,-0.00202,0.030,-0.101
14.05,2.500,-0.00192,0.030,-0.096
13.97,2.600,-0.00185,0.030,-0.093
13.93,2.700,-0.00178,0.030,-0.089
14.06,2.800,-0.00171,0.030,-0.086
14.08,2.900,-0.00164,0.030,-0.082
14.22,3.000,-0.00155,0.030,-0.078
14.14,3.100,-0.00143,0.030,-0.071
14.26,3.200,-0.00134,0.031,-0.067
14.07,3.300,-0.00128,0.030,-0.064
14.20,3.400,-0.00121,0.030,-0.060
14.29,3.500,-0.00114,0.031,-0.057
14.29,3.600,-0.00106,0.031,-0.053
14.69,3.700,-0.00096,0.031,-0.048
15.33,3.800,-0.00085,0.033,-0.042
16.43,3.900,-0.00077,0.035,-0.038
17.44,4.000,-0.00070,0.037,-0.035
19.18,4.100,-0.00063,0.041,-0.032
21.61,4.200,-0.00056,0.046,-0.028
23.88,4.300,-0.00048,0.051,-0.024
27.95,4.400,-0.00036,0.060,-0.018
31.90,4.500,-0.00026,0.068,-0.013
34.49,4.600,-0.00019,0.074,-0.010
36.73,4.700,-0.00013,0.079,-0.006
39.30,4.800,-0.00006,0.084,-0.003
42.01,4.900,0.00002,0.090,0.001
45.40,5.000,0.00011,0.097,0.006
50.45,5.100,0.00023,0.108,0.012
54.08,5.200,0.00032,0.116,0.016
56.76,5.300,0.00038,0.122,0.019
59.09,5.400,0.00045,0.127,0.023
62.02,5.500,0.00052,0.133,0.026
65.06,5.600,0.00060,0.139,0.030
69.36,5.700,0.00071,0.148,0.036
74.23,5.800,0.00082,0.159,0.041
77.71,5.900,0.00089,0.166,0.045
80.20,6.000,0.00096,0.172,0.048
83.04,6.100,0.00103,0.178,0.052
85.96,6.200,0.00110,0.184,0.055
89.35,6.300,0.00119,0.191,0.059
94.76,6.400,0.00131,0.203,0.065
99.40,6.500,0.00140,0.213,0.070
101.91,6.600,0.00147,0.218,0.073
104.81,6.700,0.00154,0.224,0.077
107.79,6.800,0.00161,0.231,0.080
110.76,6.900,0.00168,0.237,0.084
115.02,7.000,0.00178,0.246,0.089
120.57,7.100,0.00190,0.258,0.095
124.53,7.200,0.00198,0.267,0.099
127.20,7.300,0.00204,0.272,0.102
130.15,7.400,0.00211,0.279,0.106
133.26,7.500,0.00219,0.285,0.109
136.09,7.600,0.00226,0.291,0.113
141.56,7.700,0.00237,0.303,0.119
146.53,7.800,0.00248,0.314,0.124
149.80,7.900,0.00255,0.321,0.128
152.77,8.000,0.00262,0.327,0.131
155.66,8.100,0.00269,0.333,0.134
158.63,8.200,0.00276,0.340,0.138
162.27,8.300,0.00285,0.347,0.142
168.38,8.400,0.00297,0.361,0.148
173.03,8.500,0.00306,0.370,0.153
175.63,8.600,0.00313,0.376,0.156
178.48,8.700,0.00320,0.382,0.160
181.86,8.800,0.00327,0.389,0.163
185.17,8.900,0.00334,0.396,0.167
189.69,9.000,0.00345,0.406,0.172
195.70,9.100,0.00356,0.419,0.178
199.74,9.200,0.00364,0.428,0.182
202.57,9.300,0.00371,0.434,0.185
205.64,9.400,0.00378,0.440,0.189
208.81,9.500,0.00385,0.447,0.192
212.30,9.600,0.00392,0.455,0.196
218.52,9.700,0.00404,0.468,0.202
223.44,9.800,0.00415,0.478,0.207
226.77,9.900,0.00422,0.486,0.211
229.64,10.000,0.00428,0.492,0.214
233.03,10.100,0.00436,0.499,0.218
236.29,10.200,0.00443,0.506,0.221
240.33,10.300,0.00452,0.515,0.226
246.62,10.400,0.00463,0.528,0.232
251.34,10.500,0.00473,0.538,0.236
254.13,10.600,0.00479,0.544,0.240
257.50,10.700,0.00486,0.551,0.243
260.63,10.800,0.00493,0.558,0.247
264.24,10.900,0.00501,0.566,0.250
269.60,11.000,0.00512,0.577,0.256
275.35,11.100,0.00522,0.590,0.261
279.51,11.200,0.00530,0.598,0.265
282.30,11.300,0.00537,0.604,0.269
285.64,11.400,0.00544,0.612,0.272
288.92,11.500,0.00551,0.619,0.276
292.45,11.600,0.00559,0.626,0.280
298.95,11.700,0.00571,0.640,0.286
304.19,11.800,0.00581,0.651,0.291
307.47,11.900,0.00588,0.658,0.294
310.40,12.000,0.00595,0.665,0.297
313.79,12.100,0.00602,0.672,0.301
317.20,12.200,0.00609,0.679,0.305
321.34,12.300,0.00619,0.688,0.309
327.96,12.400,0.00630,0.702,0.315
332.74,12.500,0.00639,0.712,0.320
335.45,12.600,0.00646,0.718,0.323
